Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-inb7,order-l841,order-bvi9,randomiser-s4k1,branch-lfp6,order-svai,branch-8j67,order-md2h,Randomise questionnaire elements?,Question Key,Response
1,1681936965972,19/04/2023 20:42:45,1681936796478,-4,19/04/2023 16:39:56,127771,5,questionnaire-5dfn,,28976357,BLIND,8629404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Good,Practice Good,BA,BA,AP-SD,,,,,No,BEGIN QUESTIONNAIRE,
2,1681937049268,19/04/2023 20:44:09,1681936879798,-4,19/04/2023 16:41:19,127771,5,questionnaire-5dfn,,28976357,BLIND,8629404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Good,Practice Good,BA,BA,AP-SD,,,,,No,attention,4
3,1681937049376,19/04/2023 20:44:09,1681936879799,-4,19/04/2023 16:41:19,127771,5,questionnaire-5dfn,,28976357,BLIND,8629404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Good,Practice Good,BA,BA,AP-SD,,,,,No,change-type-challenge,3
4,1681937049376,19/04/2023 20:44:09,1681936879799,-4,19/04/2023 16:41:19,127771,5,questionnaire-5dfn,,28976357,BLIND,8629404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Good,Practice Good,BA,BA,AP-SD,,,,,No,strategy,Sometimes I repeat the pitch or syluble in my head after the first sequence.
5,1681937049376,19/04/2023 20:44:09,1681936879799,-4,19/04/2023 16:41:19,127771,5,questionnaire-5dfn,,28976357,BLIND,8629404,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Good,Practice Good,BA,BA,AP-SD,,,,,No,END QUESTIONNAIRE,83321
1,1681924302562,19/04/2023 17:11:42,1681924133100,-4,19/04/2023 13:08:53,127771,5,questionnaire-5dfn,,28971738,BLIND,8628266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,BEGIN QUESTIONNAIRE,
2,1681924401262,19/04/2023 17:13:21,1681924231865,-4,19/04/2023 13:10:31,127771,5,questionnaire-5dfn,,28971738,BLIND,8628266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,attention,4
3,1681924401390,19/04/2023 17:13:21,1681924231866,-4,19/04/2023 13:10:31,127771,5,questionnaire-5dfn,,28971738,BLIND,8628266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,change-type-challenge,4
4,1681924401390,19/04/2023 17:13:21,1681924231866,-4,19/04/2023 13:10:31,127771,5,questionnaire-5dfn,,28971738,BLIND,8628266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,strategy,"I mouth the syllables to myself, and I pretend to play the pitches on a keyboard to remember whether they go up or down"
5,1681924401390,19/04/2023 17:13:21,1681924231866,-4,19/04/2023 13:10:31,127771,5,questionnaire-5dfn,,28971738,BLIND,8628266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Bad,AB,No,END QUESTIONNAIRE,98767
1,1681856581317,18/04/2023 22:23:01,1681856411926,-4,18/04/2023 18:20:11,127771,5,questionnaire-5dfn,,28951781,BLIND,8622265,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,BA,Practice Good,BA,No,BEGIN QUESTIONNAIRE,
2,1681856635322,18/04/2023 22:23:55,1681856465993,-4,18/04/2023 18:21:05,127771,5,questionnaire-5dfn,,28951781,BLIND,8622265,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,BA,Practice Good,BA,No,attention,3
3,1681856635473,18/04/2023 22:23:55,1681856465994,-4,18/04/2023 18:21:05,127771,5,questionnaire-5dfn,,28951781,BLIND,8622265,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,BA,Practice Good,BA,No,change-type-challenge,2
4,1681856635473,18/04/2023 22:23:55,1681856465994,-4,18/04/2023 18:21:05,127771,5,questionnaire-5dfn,,28951781,BLIND,8622265,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,BA,Practice Good,BA,No,strategy,I tried to repeat them in my head or whisper/mouth them out loud to remember
5,1681856635473,18/04/2023 22:23:55,1681856465995,-4,18/04/2023 18:21:05,127771,5,questionnaire-5dfn,,28951781,BLIND,8622265,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,BA,Practice Good,BA,No,END QUESTIONNAIRE,54069
END OF FILE
